Respondent_ID,Consume_frequency,Consume_time,Consume_reason,Heard_before,Brand_perception,General_perception,Tried_before,Taste_experience,Reasons_preventing_trying,Current_brands,Reasons_for_choosing_brands,Improvements_desired,Ingredients_expected,Health_concerns,Interest_in_natural_or_organic,Marketing_channels,Packaging_preference,Limited_edition_packaging,Price_range,Purchase_location,Typical_consumption_situations,,,
120723,2-3 times a week,Throughout the day,Increased energy and focus,No,Neutral,Healthy,Yes,1,Not interested in energy drinks,Bepsi,Availability,Other,Caffeine,No,Not Sure,TV commercials,Eco-friendly design,No,Above 150,Online retailers,Studying/working late,,,
120724,Once a week,To stay awake during work/study,To boost performance,Yes,Negative,Effective,Yes,4,Not available locally,Bepsi,Effectiveness,More natural ingredients,Caffeine,Yes,No,Online ads,Compact and portable cans,No,50-99,Online retailers,Studying/working late,,,
120726,Rarely,To stay awake during work/study,Other,No,Positive,Dangerous,No,3,Health concerns,Cola-Coka,Availability,Other,Vitamins,No,Not Sure,Other,Compact and portable cans,Yes,Above 150,Online retailers,Studying/working late,,,
120727,Once a week,Before exercise,To enhance sports performance,Yes,Neutral,Not sure,Yes,5,Health concerns,Cola-Coka,Availability,Reduced sugar content,Caffeine,No,No,Other,Innovative bottle design,Not Sure,Below 50,Supermarkets,Studying/working late,,,
120728,Once a week,For mental alertness,To combat fatigue,Yes,Negative,Effective,No,5,Unfamiliar with the brand,CodeX,Other,Wider range of flavors,Sugar,Yes,Yes,Outdoor billboards,Compact and portable cans,No,100-150,Supermarkets,Studying/working late,,,
120729,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Negative,Effective,Yes,5,Other,Bepsi,Other,Healthier alternatives,Sugar,No,Not Sure,TV commercials,Collectible packaging,Yes,50-99,Supermarkets,Studying/working late,,,
120730,Rarely,Throughout the day,To boost performance,No,Neutral,Healthy,Yes,4,Unfamiliar with the brand,Bepsi,Other,Wider range of flavors,Vitamins,Yes,Yes,Online ads,Innovative bottle design,No,Below 50,Supermarkets,Studying/working late,,,
120731,2-3 times a week,For mental alertness,To combat fatigue,Yes,Positive,Effective,No,2,Health concerns,Gangster,Effectiveness,Reduced sugar content,Caffeine,Yes,No,Outdoor billboards,Compact and portable cans,Yes,100-150,Gyms and fitness centers,Studying/working late,,,
120732,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Negative,Not sure,Yes,3,Not interested in energy drinks,CodeX,Brand reputation,Other,Sugar,Yes,Not Sure,Print media,Compact and portable cans,Yes,Above 150,Gyms and fitness centers,Studying/working late,,,
120733,2-3 times a month,For mental alertness,To combat fatigue,Yes,Negative,Effective,Yes,4,Unfamiliar with the brand,Bepsi,Brand reputation,More natural ingredients,Caffeine,Yes,Not Sure,Outdoor billboards,Collectible packaging,No,50-99,Supermarkets,Studying/working late,,,
120734,2-3 times a month,For mental alertness,Increased energy and focus,No,Neutral,Not sure,No,4,Not available locally,Gangster,Effectiveness,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
120735,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Dangerous,No,3,Not available locally,Gangster,Availability,Reduced sugar content,Sugar,Yes,Yes,Other,Compact and portable cans,Yes,Above 150,Online retailers,Studying/working late,,,
120736,Once a week,Before exercise,Increased energy and focus,No,Positive,Effective,No,2,Not available locally,Others,Brand reputation,Healthier alternatives,Caffeine,Yes,No,Online ads,Eco-friendly design,Yes,50-99,Supermarkets,Studying/working late,,,
120737,Once a week,Before exercise,To boost performance,No,Neutral,Not sure,Yes,4,Unfamiliar with the brand,Cola-Coka,Availability,Healthier alternatives,Guarana,Yes,Yes,TV commercials,Collectible packaging,Yes,Above 150,Online retailers,Studying/working late,,,
120738,2-3 times a month,Throughout the day,Increased energy and focus,Yes,Negative,Not sure,No,2,Unfamiliar with the brand,Bepsi,Effectiveness,Wider range of flavors,Sugar,No,Yes,Online ads,Compact and portable cans,No,50-99,Supermarkets,Studying/working late,,,
120739,Rarely,For mental alertness,To combat fatigue,No,Positive,Effective,Yes,5,Unfamiliar with the brand,Bepsi,Availability,Wider range of flavors,Vitamins,Yes,Not Sure,TV commercials,Eco-friendly design,Not Sure,50-99,Supermarkets,Studying/working late,,,
120740,2-3 times a month,For mental alertness,Increased energy and focus,Yes,Negative,Not sure,Yes,2,Other,Cola-Coka,Effectiveness,More natural ingredients,Vitamins,Yes,No,Online ads,Compact and portable cans,Yes,100-150,Online retailers,Studying/working late,,,
120741,Once a week,For mental alertness,To boost performance,No,Negative,Dangerous,No,3,Not available locally,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,No,Yes,Online ads,Collectible packaging,No,Above 150,Supermarkets,Studying/working late,,,
120742,2-3 times a week,Before exercise,Increased energy and focus,Yes,Positive,Effective,Yes,2,Unfamiliar with the brand,CodeX,Brand reputation,More natural ingredients,Caffeine,Yes,Yes,Other,Compact and portable cans,Not Sure,50-99,Supermarkets,Studying/working late,,,
120743,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,Yes,3,Not interested in energy drinks,Blue Bull,Brand reputation,Wider range of flavors,Vitamins,Yes,Yes,Outdoor billboards,Collectible packaging,Yes,100-150,Gyms and fitness centers,Studying/working late,,,
120744,Daily,Throughout the day,Increased energy and focus,Yes,Neutral,Effective,No,4,Not interested in energy drinks,Gangster,Availability,More natural ingredients,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,Below 50,Supermarkets,Studying/working late,,,
120745,Once a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,Yes,5,Other,Bepsi,Other,Reduced sugar content,Vitamins,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Online retailers,Studying/working late,,,
120746,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Negative,Effective,Yes,5,Health concerns,Blue Bull,Other,More natural ingredients,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Not Sure,50-99,Supermarkets,Studying/working late,,,
120747,Rarely,Before exercise,To enhance sports performance,Yes,Neutral,Not sure,Yes,3,Health concerns,Others,Availability,Reduced sugar content,Caffeine,Yes,No,Online ads,Innovative bottle design,Yes,Above 150,Supermarkets,Studying/working late,,,
120748,Daily,Before exercise,To enhance sports performance,No,Neutral,Not sure,Yes,4,Unfamiliar with the brand,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Compact and portable cans,No,100-150,Supermarkets,Studying/working late,,,
120749,2-3 times a week,Throughout the day,To boost performance,No,Neutral,Not sure,Yes,4,Health concerns,Sky 9,Taste/flavor preference,Other,Vitamins,No,Yes,Online ads,Compact and portable cans,No,100-150,Online retailers,Studying/working late,,,
120750,2-3 times a week,For mental alertness,To enhance sports performance,Yes,Neutral,Healthy,Yes,1,Other,Bepsi,Taste/flavor preference,Wider range of flavors,Vitamins,Yes,Not Sure,Print media,Collectible packaging,Not Sure,50-99,Other,Studying/working late,,,
120751,Daily,Before exercise,To combat fatigue,No,Neutral,Not sure,Yes,3,Not available locally,Bepsi,Taste/flavor preference,Reduced sugar content,Sugar,No,Yes,Online ads,Innovative bottle design,Yes,Above 150,Local stores,Studying/working late,,,
120752,2-3 times a week,To stay awake during work/study,To boost performance,No,Negative,Healthy,Yes,5,Other,Gangster,Brand reputation,Other,Caffeine,Yes,No,Outdoor billboards,Compact and portable cans,No,50-99,Gyms and fitness centers,Studying/working late,,,
120753,Rarely,Before exercise,Increased energy and focus,No,Neutral,Not sure,Yes,1,Health concerns,Cola-Coka,Effectiveness,Reduced sugar content,Vitamins,Yes,Not Sure,TV commercials,Innovative bottle design,No,50-99,Gyms and fitness centers,Studying/working late,,,
120754,Rarely,For mental alertness,Increased energy and focus,No,Negative,Dangerous,No,5,Not available locally,CodeX,Other,Healthier alternatives,Sugar,Yes,Not Sure,TV commercials,Compact and portable cans,No,100-150,Local stores,Studying/working late,,,
120755,2-3 times a week,To stay awake during work/study,To boost performance,No,Neutral,Not sure,No,4,Other,Gangster,Other,Reduced sugar content,Sugar,No,Yes,Online ads,Innovative bottle design,Not Sure,100-150,Online retailers,Studying/working late,,,
120756,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,No,4,Not interested in energy drinks,Gangster,Brand reputation,Reduced sugar content,Caffeine,No,Not Sure,Online ads,Compact and portable cans,No,100-150,Online retailers,Studying/working late,,,
120757,Daily,To stay awake during work/study,To boost performance,Yes,Neutral,Healthy,Yes,2,Not available locally,Gangster,Effectiveness,Healthier alternatives,Sugar,No,Yes,Other,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late,,,
120758,2-3 times a month,Before exercise,To combat fatigue,Yes,Negative,Dangerous,Yes,4,Health concerns,Cola-Coka,Other,Healthier alternatives,Vitamins,No,Yes,Print media,Innovative bottle design,No,50-99,Online retailers,Studying/working late,,,
120759,2-3 times a week,Before exercise,To boost performance,Yes,Positive,Healthy,Yes,5,Not interested in energy drinks,Bepsi,Availability,Healthier alternatives,Caffeine,No,Yes,TV commercials,Compact and portable cans,No,100-150,Online retailers,Studying/working late,,,
120760,Rarely,Before exercise,To combat fatigue,No,Neutral,Dangerous,Yes,3,Not available locally,Gangster,Brand reputation,Wider range of flavors,Vitamins,Yes,No,TV commercials,Innovative bottle design,Not Sure,Below 50,Supermarkets,Studying/working late,,,
120761,2-3 times a week,Before exercise,To boost performance,Yes,Neutral,Effective,Yes,3,Other,CodeX,Effectiveness,More natural ingredients,Vitamins,No,Not Sure,Online ads,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
120762,Rarely,To stay awake during work/study,To enhance sports performance,No,Neutral,Effective,Yes,3,Unfamiliar with the brand,Sky 9,Effectiveness,More natural ingredients,Guarana,Yes,Not Sure,Print media,Collectible packaging,Not Sure,Above 150,Online retailers,Studying/working late,,,
120763,Once a week,For mental alertness,Increased energy and focus,No,Neutral,Dangerous,Yes,3,Not available locally,Gangster,Taste/flavor preference,More natural ingredients,Caffeine,Yes,No,Print media,Compact and portable cans,No,100-150,Supermarkets,Studying/working late,,,
120764,2-3 times a week,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,No,3,Unfamiliar with the brand,Blue Bull,Brand reputation,Reduced sugar content,Sugar,Yes,No,TV commercials,Compact and portable cans,No,100-150,Online retailers,Studying/working late,,,
120765,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Effective,Yes,1,Not available locally,Cola-Coka,Brand reputation,Reduced sugar content,Sugar,Yes,No,Outdoor billboards,Innovative bottle design,Yes,50-99,Online retailers,Studying/working late,,,
120766,2-3 times a week,Before exercise,To combat fatigue,Yes,Positive,Healthy,No,3,Not interested in energy drinks,Sky 9,Brand reputation,Reduced sugar content,Caffeine,No,Yes,Outdoor billboards,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
120767,Daily,For mental alertness,To combat fatigue,Yes,Negative,Effective,No,3,Health concerns,Sky 9,Brand reputation,Wider range of flavors,Guarana,Yes,Yes,TV commercials,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late,,,
120768,Daily,Before exercise,To boost performance,Yes,Neutral,Not sure,No,4,Unfamiliar with the brand,Gangster,Effectiveness,Other,Vitamins,No,Yes,TV commercials,Innovative bottle design,No,50-99,Online retailers,Studying/working late,,,
120769,Rarely,Before exercise,To enhance sports performance,No,Negative,Dangerous,No,4,Unfamiliar with the brand,CodeX,Brand reputation,Healthier alternatives,Sugar,Yes,Yes,TV commercials,Compact and portable cans,No,50-99,Online retailers,Studying/working late,,,
120770,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Negative,Healthy,No,2,Health concerns,Gangster,Availability,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Collectible packaging,Yes,50-99,Supermarkets,Studying/working late,,,
120771,Once a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Not sure,Yes,4,Unfamiliar with the brand,Sky 9,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Not Sure,Other,Collectible packaging,No,50-99,Online retailers,Studying/working late,,,
120772,Daily,Throughout the day,Increased energy and focus,Yes,Neutral,Effective,Yes,1,Unfamiliar with the brand,Gangster,Other,More natural ingredients,Sugar,No,Not Sure,Other,Compact and portable cans,Not Sure,100-150,Other,Studying/working late,,,
120773,Rarely,For mental alertness,To combat fatigue,No,Positive,Healthy,No,1,Health concerns,Others,Brand reputation,Healthier alternatives,Guarana,Yes,Yes,Online ads,Compact and portable cans,Yes,Below 50,Gyms and fitness centers,Studying/working late,,,
120774,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Neutral,Effective,Yes,3,Not available locally,Gangster,Availability,More natural ingredients,Caffeine,Yes,Not Sure,Online ads,Innovative bottle design,No,Below 50,Supermarkets,Studying/working late,,,
120775,Once a week,Before exercise,To boost performance,No,Neutral,Healthy,Yes,3,Not interested in energy drinks,Cola-Coka,Other,Reduced sugar content,Sugar,Yes,Yes,Online ads,Compact and portable cans,No,Below 50,Supermarkets,Studying/working late,,,
120776,Once a week,Throughout the day,To enhance sports performance,No,Neutral,Effective,No,5,Health concerns,Cola-Coka,Availability,Reduced sugar content,Vitamins,Yes,Yes,Other,Other,Not Sure,100-150,Supermarkets,Studying/working late,,,
120777,Rarely,Before exercise,To combat fatigue,Yes,Neutral,Healthy,No,5,Unfamiliar with the brand,Bepsi,Brand reputation,Reduced sugar content,Sugar,Yes,Not Sure,Online ads,Innovative bottle design,No,50-99,Online retailers,Studying/working late,,,
120778,2-3 times a month,Before exercise,To enhance sports performance,No,Neutral,Healthy,Yes,1,Not available locally,Sky 9,Taste/flavor preference,More natural ingredients,Caffeine,No,Yes,Online ads,Eco-friendly design,Yes,50-99,Supermarkets,Studying/working late,,,
120779,Rarely,For mental alertness,To boost performance,No,Neutral,Dangerous,No,3,Not interested in energy drinks,Bepsi,Effectiveness,More natural ingredients,Caffeine,Yes,Not Sure,Outdoor billboards,Collectible packaging,No,50-99,Online retailers,Studying/working late,,,
120780,2-3 times a week,Throughout the day,To enhance sports performance,Yes,Negative,Effective,Yes,4,Unfamiliar with the brand,CodeX,Effectiveness,Wider range of flavors,Guarana,Yes,No,Outdoor billboards,Compact and portable cans,Not Sure,50-99,Supermarkets,Studying/working late,,,
120781,2-3 times a month,Before exercise,To enhance sports performance,Yes,Positive,Dangerous,No,1,Not available locally,CodeX,Availability,Reduced sugar content,Sugar,Yes,No,TV commercials,Eco-friendly design,Not Sure,100-150,Online retailers,Studying/working late,,,
120782,Daily,Throughout the day,To combat fatigue,Yes,Negative,Not sure,Yes,4,Not interested in energy drinks,Gangster,Other,Healthier alternatives,Caffeine,Yes,Yes,Print media,Compact and portable cans,No,100-150,Online retailers,Studying/working late,,,
120783,2-3 times a week,Throughout the day,Increased energy and focus,Yes,Positive,Effective,No,4,Not available locally,CodeX,Effectiveness,Healthier alternatives,Vitamins,Yes,Yes,Online ads,Compact and portable cans,No,Below 50,Online retailers,Studying/working late,,,
120785,Rarely,Throughout the day,Other,Yes,Positive,Not sure,Yes,3,Not interested in energy drinks,Cola-Coka,Other,Wider range of flavors,Vitamins,No,Yes,Outdoor billboards,Eco-friendly design,Not Sure,Above 150,Supermarkets,Studying/working late,,,
120786,Daily,To stay awake during work/study,To combat fatigue,Yes,Neutral,Effective,No,1,Health concerns,CodeX,Brand reputation,More natural ingredients,Caffeine,No,Yes,Outdoor billboards,Collectible packaging,Yes,Below 50,Online retailers,Studying/working late,,,
120787,Daily,Before exercise,To combat fatigue,No,Neutral,Effective,No,2,Unfamiliar with the brand,Cola-Coka,Taste/flavor preference,Reduced sugar content,Sugar,Yes,Yes,TV commercials,Collectible packaging,Not Sure,Above 150,Online retailers,Studying/working late,,,
120788,Daily,Before exercise,Increased energy and focus,No,Negative,Not sure,No,3,Unfamiliar with the brand,Cola-Coka,Effectiveness,Wider range of flavors,Sugar,Yes,Yes,Online ads,Compact and portable cans,No,50-99,Online retailers,Studying/working late,,,
120789,2-3 times a week,To stay awake during work/study,To boost performance,No,Neutral,Effective,No,4,Other,Cola-Coka,Effectiveness,More natural ingredients,Vitamins,No,Yes,TV commercials,Innovative bottle design,Yes,100-150,Supermarkets,Studying/working late,,,
120790,2-3 times a month,Before exercise,Increased energy and focus,Yes,Neutral,Dangerous,Yes,3,Unfamiliar with the brand,CodeX,Taste/flavor preference,Healthier alternatives,Guarana,Yes,Not Sure,Print media,Compact and portable cans,Yes,100-150,Online retailers,Studying/working late,,,
120791,Rarely,For mental alertness,To enhance sports performance,No,Neutral,Dangerous,Yes,5,Health concerns,Bepsi,Effectiveness,Reduced sugar content,Guarana,Yes,No,Outdoor billboards,Innovative bottle design,Not Sure,Above 150,Local stores,Studying/working late,,,
120792,2-3 times a week,For mental alertness,To enhance sports performance,Yes,Positive,Not sure,No,5,Other,Cola-Coka,Taste/flavor preference,Healthier alternatives,Sugar,Yes,Yes,Online ads,Compact and portable cans,Not Sure,Below 50,Supermarkets,Studying/working late,,,
120793,Daily,For mental alertness,Increased energy and focus,No,Positive,Effective,No,5,Health concerns,Others,Taste/flavor preference,Wider range of flavors,Caffeine,No,Yes,Online ads,Eco-friendly design,Yes,100-150,Online retailers,Studying/working late,,,
120794,Rarely,To stay awake during work/study,To boost performance,No,Neutral,Healthy,Yes,5,Health concerns,Gangster,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Collectible packaging,No,50-99,Supermarkets,Studying/working late,,,
120795,Rarely,Before exercise,To boost performance,Yes,Neutral,Healthy,Yes,4,Not available locally,Cola-Coka,Other,Wider range of flavors,Vitamins,No,Yes,Online ads,Innovative bottle design,Not Sure,100-150,Supermarkets,Studying/working late,,,
120796,Once a week,Before exercise,To combat fatigue,No,Neutral,Not sure,No,3,Other,CodeX,Brand reputation,More natural ingredients,Guarana,No,Not Sure,Online ads,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
120797,2-3 times a month,For mental alertness,Increased energy and focus,Yes,Neutral,Healthy,Yes,2,Other,Gangster,Taste/flavor preference,More natural ingredients,Guarana,No,No,TV commercials,Innovative bottle design,Yes,50-99,Online retailers,Studying/working late,,,
120798,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Negative,Not sure,No,2,Not available locally,Blue Bull,Brand reputation,More natural ingredients,Vitamins,No,Yes,Online ads,Compact and portable cans,Yes,50-99,Online retailers,Studying/working late,,,
120799,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Positive,Healthy,No,2,Health concerns,Others,Brand reputation,Reduced sugar content,Caffeine,No,Yes,Other,Compact and portable cans,No,100-150,Gyms and fitness centers,Studying/working late,,,
120800,2-3 times a week,To stay awake during work/study,Other,No,Neutral,Effective,Yes,3,Not available locally,Cola-Coka,Taste/flavor preference,Other,Sugar,Yes,No,Online ads,Innovative bottle design,No,Above 150,Supermarkets,Studying/working late,,,
120801,Once a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Effective,No,1,Health concerns,Cola-Coka,Effectiveness,Healthier alternatives,Caffeine,No,No,Online ads,Innovative bottle design,Yes,Above 150,Gyms and fitness centers,Studying/working late,,,
120802,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Not sure,No,3,Unfamiliar with the brand,CodeX,Taste/flavor preference,Reduced sugar content,Guarana,No,Not Sure,TV commercials,Compact and portable cans,No,Above 150,Supermarkets,Studying/working late,,,
120803,Once a week,Throughout the day,To combat fatigue,No,Positive,Dangerous,Yes,2,Not available locally,Bepsi,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late,,,
120804,2-3 times a month,Before exercise,To enhance sports performance,No,Negative,Not sure,No,3,Unfamiliar with the brand,Gangster,Brand reputation,Reduced sugar content,Vitamins,No,Yes,TV commercials,Compact and portable cans,Yes,50-99,Online retailers,Studying/working late,,,
120805,2-3 times a week,Before exercise,To combat fatigue,No,Neutral,Effective,No,4,Health concerns,Cola-Coka,Brand reputation,More natural ingredients,Sugar,No,No,Online ads,Compact and portable cans,Not Sure,50-99,Supermarkets,Studying/working late,,,
120806,Once a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Healthy,No,3,Unfamiliar with the brand,Cola-Coka,Effectiveness,Reduced sugar content,Sugar,No,No,Other,Innovative bottle design,No,50-99,Local stores,Studying/working late,,,
120807,Rarely,Throughout the day,To combat fatigue,No,Neutral,Effective,No,2,Not interested in energy drinks,Bepsi,Brand reputation,More natural ingredients,Sugar,No,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Other,Studying/working late,,,
120808,Once a week,Before exercise,To combat fatigue,Yes,Neutral,Effective,Yes,4,Not available locally,Cola-Coka,Taste/flavor preference,Healthier alternatives,Guarana,No,No,Print media,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
120809,Once a week,For mental alertness,Increased energy and focus,No,Neutral,Dangerous,Yes,3,Unfamiliar with the brand,Others,Other,Other,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,Yes,Above 150,Online retailers,Studying/working late,,,
120810,Once a week,For mental alertness,Increased energy and focus,No,Negative,Dangerous,Yes,2,Health concerns,Bepsi,Other,Healthier alternatives,Caffeine,Yes,No,TV commercials,Innovative bottle design,No,100-150,Supermarkets,Studying/working late,,,
120811,Daily,Before exercise,Increased energy and focus,No,Negative,Healthy,Yes,3,Not available locally,CodeX,Effectiveness,Reduced sugar content,Caffeine,Yes,No,Online ads,Compact and portable cans,Not Sure,100-150,Local stores,Studying/working late,,,
120812,Rarely,Throughout the day,To combat fatigue,Yes,Neutral,Effective,Yes,3,Unfamiliar with the brand,Gangster,Availability,Healthier alternatives,Caffeine,Yes,Yes,Online ads,Collectible packaging,Not Sure,50-99,Gyms and fitness centers,Studying/working late,,,
120813,Rarely,Before exercise,Increased energy and focus,No,Neutral,Not sure,Yes,3,Not interested in energy drinks,Bepsi,Availability,More natural ingredients,Vitamins,Yes,Not Sure,TV commercials,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late,,,
120814,Rarely,To stay awake during work/study,To combat fatigue,No,Neutral,Healthy,Yes,2,Not available locally,Blue Bull,Other,More natural ingredients,Sugar,No,Yes,Outdoor billboards,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late,,,
120815,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,Yes,4,Not available locally,Bepsi,Other,Reduced sugar content,Caffeine,Yes,Yes,Outdoor billboards,Collectible packaging,No,Above 150,Supermarkets,Studying/working late,,,
120816,2-3 times a week,To stay awake during work/study,To enhance sports performance,Yes,Positive,Effective,No,4,Health concerns,Sky 9,Other,Healthier alternatives,Caffeine,Yes,No,Outdoor billboards,Compact and portable cans,No,100-150,Online retailers,Studying/working late,,,
120818,Once a week,Throughout the day,To enhance sports performance,No,Neutral,Healthy,No,4,Not available locally,Gangster,Brand reputation,Reduced sugar content,Sugar,Yes,Yes,Other,Compact and portable cans,No,Below 50,Supermarkets,Studying/working late,,,
120819,Rarely,Before exercise,To boost performance,Yes,Neutral,Effective,Yes,4,Health concerns,Bepsi,Effectiveness,Wider range of flavors,Guarana,Yes,No,TV commercials,Innovative bottle design,Yes,50-99,Online retailers,Studying/working late,,,
120820,2-3 times a week,Throughout the day,To boost performance,No,Neutral,Dangerous,No,5,Unfamiliar with the brand,CodeX,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Yes,Online ads,Collectible packaging,Yes,Above 150,Supermarkets,Studying/working late,,,
120821,Rarely,Throughout the day,To combat fatigue,Yes,Negative,Effective,No,1,Unfamiliar with the brand,Bepsi,Other,Reduced sugar content,Caffeine,Yes,Not Sure,Online ads,Collectible packaging,No,50-99,Online retailers,Studying/working late,,,
120822,2-3 times a week,To stay awake during work/study,To boost performance,No,Neutral,Not sure,Yes,1,Health concerns,Bepsi,Effectiveness,More natural ingredients,Caffeine,Yes,No,Other,Innovative bottle design,No,Below 50,Other,Studying/working late,,,
120823,Once a week,Before exercise,To combat fatigue,No,Neutral,Effective,Yes,1,Not interested in energy drinks,Gangster,Brand reputation,Other,Sugar,Yes,No,Other,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late,,,
120824,Daily,For mental alertness,To enhance sports performance,Yes,Neutral,Effective,Yes,3,Unfamiliar with the brand,Cola-Coka,Brand reputation,Reduced sugar content,Guarana,Yes,Yes,Online ads,Compact and portable cans,No,Below 50,Local stores,Studying/working late,,,
120825,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Effective,No,3,Health concerns,Cola-Coka,Brand reputation,Healthier alternatives,Caffeine,No,No,TV commercials,Collectible packaging,Not Sure,50-99,Online retailers,Studying/working late,,,
120826,2-3 times a week,Before exercise,Increased energy and focus,Yes,Neutral,Dangerous,Yes,3,Health concerns,Cola-Coka,Effectiveness,More natural ingredients,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,Yes,Below 50,Online retailers,Studying/working late,,,
120827,Rarely,To stay awake during work/study,To combat fatigue,Yes,Neutral,Effective,No,4,Health concerns,Cola-Coka,Availability,Reduced sugar content,Caffeine,No,Yes,Online ads,Innovative bottle design,Yes,Above 150,Supermarkets,Studying/working late,,,
120828,Once a week,For mental alertness,Increased energy and focus,No,Neutral,Dangerous,Yes,3,Health concerns,Bepsi,Other,More natural ingredients,Caffeine,Yes,No,Other,Innovative bottle design,No,Above 150,Supermarkets,Studying/working late,,,
120829,2-3 times a week,Throughout the day,To enhance sports performance,No,Neutral,Not sure,No,3,Health concerns,Sky 9,Availability,More natural ingredients,Sugar,No,No,Other,Compact and portable cans,No,50-99,Online retailers,Studying/working late,,,
120830,Once a week,Before exercise,Increased energy and focus,No,Neutral,Healthy,Yes,3,Unfamiliar with the brand,Sky 9,Other,Wider range of flavors,Caffeine,Yes,No,TV commercials,Innovative bottle design,Yes,Below 50,Online retailers,Studying/working late,,,
120831,Rarely,For mental alertness,To boost performance,No,Neutral,Dangerous,Yes,4,Not interested in energy drinks,Cola-Coka,Other,Wider range of flavors,Caffeine,Yes,Yes,Other,Compact and portable cans,No,100-150,Online retailers,Studying/working late,,,
120832,2-3 times a week,Throughout the day,To enhance sports performance,No,Neutral,Not sure,Yes,3,Not available locally,Gangster,Other,Reduced sugar content,Vitamins,Yes,Not Sure,Other,Compact and portable cans,Not Sure,50-99,Local stores,Studying/working late,,,
120833,Once a week,For mental alertness,To enhance sports performance,Yes,Neutral,Dangerous,Yes,3,Health concerns,CodeX,Availability,Reduced sugar content,Caffeine,No,No,Online ads,Innovative bottle design,Yes,Above 150,Online retailers,Studying/working late,,,
120834,2-3 times a month,To stay awake during work/study,To boost performance,No,Neutral,Healthy,No,1,Unfamiliar with the brand,Cola-Coka,Taste/flavor preference,Healthier alternatives,Sugar,Yes,No,TV commercials,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
120835,Rarely,Throughout the day,To combat fatigue,No,Neutral,Effective,Yes,3,Health concerns,Sky 9,Effectiveness,More natural ingredients,Sugar,No,No,Other,Innovative bottle design,No,100-150,Gyms and fitness centers,Studying/working late,,,
120836,Rarely,Before exercise,Increased energy and focus,No,Neutral,Effective,Yes,3,Not available locally,Bepsi,Availability,Wider range of flavors,Sugar,No,Not Sure,TV commercials,Eco-friendly design,Yes,Above 150,Supermarkets,Studying/working late,,,
120837,2-3 times a month,To stay awake during work/study,To combat fatigue,No,Positive,Effective,No,4,Not available locally,Others,Brand reputation,Healthier alternatives,Vitamins,Yes,Yes,Online ads,Compact and portable cans,Not Sure,Below 50,Online retailers,Studying/working late,,,
120838,2-3 times a month,To stay awake during work/study,To boost performance,No,Neutral,Healthy,No,5,Not available locally,Cola-Coka,Brand reputation,More natural ingredients,Sugar,Yes,No,Outdoor billboards,Eco-friendly design,No,100-150,Local stores,Studying/working late,,,
